Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
American Caldwell,@americancaldwel,2024-10-16T14:57:17.000Z,True,"Grow your professional worldview with these 6 international news sources. From The Times to Middle East Eye, broaden your horizons beyond US media. #GlobalNews 

Learn More: http://bit.ly/4dUorYC",0,0,0,49,['#GlobalNews'],[],[],https://pbs.twimg.com/profile_images/1554004751653691394/I1gDYoID_normal.png,https://x.com/americancaldwel/status/1846566087380422894,tweet_id:1846566087380422894
Can Yaman News International,@CanYamanNewsInt,2024-10-10T17:07:01.000Z,True,No words needed… #CanYaman,17,98,314,3.7K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1844424408334770271,tweet_id:1844424408334770271
SA News Channel,@SatlokChannel,2024-10-12T10:15:43.000Z,True,"On this International Day of Rural Women! Let's recognize the incredible contributions of rural women to food security, sustainable development, and gender equality.

Read Now: https://bit.ly/3FQ7eQd#RuralWomen #GenderEquality #SustainableDevelopment",8,831,958,4.4K,"['#RuralWomen', '#GenderEquality', '#SustainableDevelopment']",[],[],https://pbs.twimg.com/profile_images/1728385593468661760/_pz9y0Em_normal.jpg,https://x.com/SatlokChannel/status/1845045678264758441,tweet_id:1845045678264758441
UNN,@UnityNewsNet,2024-10-13T11:51:51.000Z,True,"London is awash with foreign illegitimate cash.

A money laundering and people trafficking hub of the world.

Mass migration is a key component of international capital and finance.

Yet the 'left' loves it for fear of being called a waycist. 

GDP does not make a nation!",22,204,612,11K,[],[],[],https://pbs.twimg.com/profile_images/1133287235531485190/BdNIkUda_normal.jpg,https://x.com/UnityNewsNet/status/1845432258376695946,tweet_id:1845432258376695946
TV Patrol,@TVPatrol,2024-10-15T13:24:29.000Z,True,"Matapos tumanggap ng Outstanding Asian Star Award sa 2024 Seoul International Drama Awards kamakailan, may panibagong pagkilala para sa Kapamilya star na si Kim Chiu. #StarPatrolPara sa iba pang balita bisitahin ang http://news.abs-cbn.com.",40,421,1.3K,111K,['#StarPatrol'],[],[],https://pbs.twimg.com/profile_images/1478215206480220160/FLAdE0bS_normal.jpg,https://x.com/TVPatrol/status/1846180346682904828,tweet_id:1846180346682904828
SA News Channel,@SatlokChannel,2024-10-11T05:32:42.000Z,True,"Every year we observe various international days for protecting and uplifting females, one of such observances held annually is International Day of Girl Child. Targeting gender equality, protection and equal rights for both men and women, international days like these are vital",8,591,708,2.3K,[],[],[],https://pbs.twimg.com/profile_images/1728385593468661760/_pz9y0Em_normal.jpg,https://x.com/SatlokChannel/status/1844612064553123951,tweet_id:1844612064553123951
Can Yaman News International,@CanYamanNewsInt,2024-10-14T20:08:14.000Z,True,#CanYaman charisma ,11,112,273,3.2K,['#CanYaman'],[],"['\\U0001f4a5', '\\U0001f4a5', '\\U0001f4a5']",https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1845919565638668491,tweet_id:1845919565638668491
Can Yaman News International,@CanYamanNewsInt,2024-10-16T08:27:57.000Z,True,The unique #CanYaman :7Corriere,6,61,160,3.1K,['#CanYaman'],[],['\\U0001f4fc'],https://pbs.twimg.com/profile_images/1711962376877092864/nMBqa8OV_normal.jpg,https://x.com/CanYamanNewsInt/status/1846468110745841741,tweet_id:1846468110745841741
Global Opinion,@GlobalOpin56937,2024-10-10T22:06:16.000Z,False,GO NEWS con las noticias internacionales de hoy. #IsraelIranWar  #Netanyahu,0,0,1,311,"['#IsraelIranWar', '#Netanyahu']",[],[],https://pbs.twimg.com/profile_images/1770153048737792000/wC3g9Lcs_normal.jpg,https://x.com/GlobalOpin56937/status/1844499717692194933,tweet_id:1844499717692194933
5TARS.io,@5tarsGame,2024-10-08T12:00:15.000Z,True,"Big news from 5TARS! To mark the international break, we’re kicking off a special Penalty Shootout Tournament with a prize pool of 750 STARCOINS for the top scorers of the week! 

Ready to prove your skills and take home the win? Visit https://5tars.io/penalties, start hitting those",32,22,95,2.5K,[],[],[],https://pbs.twimg.com/profile_images/1505980134356131841/V_4hPZPR_normal.png,https://x.com/5tarsGame/status/1843622434231960046,tweet_id:1843622434231960046
